search URL:,https://patents.google.com/?q=ginkgo&q=boloba&q=linn
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
CN104472555A,Insecticide with ginkgo biloba extract residues and preparation method thereof ,临沂大学,"冯尚彩, 许俊杰, 张海娟",2015-01-05,2015-01-05,2015-04-01,,https://patents.google.com/patent/CN104472555A/en
US5972382A,Use of piperine as a bioavailability enhancer ,Sabinsa Corporation,"Muhammed Majeed, Vladimir Badmaev, R. Rajendran",1995-02-24,1998-01-12,1999-10-26,1999-10-26,https://patents.google.com/patent/US5972382A/en
CN103027143A,Oolong tea type ginkgo health protection tea ,高圆圆,高圆圆,2011-09-30,2011-09-30,2013-04-10,,https://patents.google.com/patent/CN103027143A/en
CN104013036B,One kind of snack food processing methods ginkgo ,李东红,李东红,2014-06-19,2014-06-19,2016-01-06,2016-01-06,https://patents.google.com/patent/CN104013036B/en
CN104286286A,Oolong tea type ginkgo health care tea ,赵昌云,赵昌云,2013-07-15,2013-07-15,2015-01-21,,https://patents.google.com/patent/CN104286286A/en
CN105816638A,A feminine menopause compositions and methods for preparing retard ,文学忠,文学忠,2016-04-19,2016-04-19,2016-08-03,,https://patents.google.com/patent/CN105816638A/en
CN105718731A,Dust detaining quantity evaluating method of urban greening woodlots and application thereof ,苏州大学,魏胜林,2016-01-20,2016-01-20,2016-06-29,,https://patents.google.com/patent/CN105718731A/en
KR101146867B1,Combinations of vasoactive agents and their use in the treatment of sexual dysfunctions ,인데나 에스피아,에지오 봄바르델리,2003-07-11,2004-07-06,2012-05-16,2012-05-16,https://patents.google.com/patent/KR101146867B1/en
CN103877161A,Method for preparing lipid-lowering chewable tablet of four leaves ,安徽新华学院,"卫强, 杨春燕, 尹伟, 戴一, 张国升, 甘艳娇, 陆灿, 杨淑芹",2014-04-11,2014-04-11,2014-06-25,,https://patents.google.com/patent/CN103877161A/en
US20070116779A1,Comprehensive nutraceutical agent for treatment/ prevention of Parkinson's disease ,Elizabeth Mazzio,Elizabeth Mazzio,2005-11-23,2006-05-22,2007-05-24,,https://patents.google.com/patent/US20070116779A1/en
CN1973601A,Method of advancing blooming of male ginkgo tree ,中国科学院沈阳应用生态研究所,"陈玮, 张粤",2006-12-15,2006-12-15,2007-06-06,,https://patents.google.com/patent/CN1973601A/en
KR20080064174A,Antioxidant and fe2+ chelating properties of herbal extracts ,에프엑스 라이프 싸이언스즈 인터내셔널 게엠베하,"재클린 제이 샨, 샬라 케이 서덜랜드",2005-10-21,2006-10-16,2008-07-08,,https://patents.google.com/patent/KR20080064174A/en
US20080292607A1,Nutraceutical agent for attenuating the neurodegenerative process associated with Parkinson's disease ,"Elizabeth Mazzio, Karam Soliman","Elizabeth Mazzio, Karam Soliman",2005-11-23,2008-07-29,2008-11-27,,https://patents.google.com/patent/US20080292607A1/en
US5536506A,Use of piperine to increase the bioavailability of nutritional compounds ,Sabinsa Corporation,"Muhammed Majeed, Vladimir Badmaev, R. Rajendran",1995-02-24,1995-02-24,1996-07-16,1996-07-16,https://patents.google.com/patent/US5536506A/en
CN100534427C,Ginkgo leaf extract and its preparation ,江苏康缘药业股份有限公司,"娅 凌, 廖正根, 戴翔翎, 曹淑波, 李明慧, 伟 肖",2003-02-14,2003-02-14,2009-09-02,2009-09-02,https://patents.google.com/patent/CN100534427C/en
US20070009996A1,Ginkgo biloba levopimaradiene synthase ,William Marsh Rice University,"Seiichi Matsuda, Hala Schepmann",2001-01-05,2005-06-24,2007-01-11,,https://patents.google.com/patent/US20070009996A1/en
CN105663614A,Pharmaceutical composition containing folium artemisiae argyi and capable of promoting blood circulation to remove blood stasis ,广州三得医疗科技有限公司,"王一飞, 张卓, 吴国宪",2016-03-29,2016-03-29,2016-06-15,,https://patents.google.com/patent/CN105663614A/en
US20100150895A1,Nutraceutical agent for attenuating the Neurodegenerative process associated with Parkinson's disease ,"Elizabeth Mazzio, Karam Soliman","Elizabeth Mazzio, Karam Soliman",2005-11-23,2010-02-06,2010-06-17,,https://patents.google.com/patent/US20100150895A1/en
CN102068520B,Chinese medicinal composition for treating cardiovascular and cerebrovascular diseases and preparation method thereof ,广州博济医药生物技术股份有限公司,"周清, 陈健文, 陈培钦, 马仁强, 马艺华",2010-12-30,2010-12-30,2012-07-25,2012-07-25,https://patents.google.com/patent/CN102068520B/en
CN103168803A,Plant source bacteriostasis and detoxification deodorant and preparation method and application of plant source bacteriostasis and detoxification deodorant ,"陈士进, 陈明, 陈亮","陈士进, 陈明, 陈亮",2013-03-28,2013-03-28,2013-06-26,,https://patents.google.com/patent/CN103168803A/en
CN104365858A,Preparation method of fermented type gingko and peanut milk beverage ,徐州工程学院,"曹泽虹, 孙月娥, 郭胜, 高兆建, 张明, 王卫东, 徐粉林, 董玉玮",2014-10-17,2014-10-17,2015-02-25,,https://patents.google.com/patent/CN104365858A/en
KR20060040669A,"Combinations of vasoactive agents, their use in the pharmaceutical and cosmetic field, and formulations containing them ",인데나 에스피아,에지오 봄바르델리,2003-07-11,2004-07-06,2006-05-10,,https://patents.google.com/patent/KR20060040669A/en
KR20130011644A,Composition for controlling lawn-disease comprising plant extracts and vegetable oils as effective components ,"전한택, 김명진","전한택, 김명진",2011-07-22,2011-07-22,2013-01-30,,https://patents.google.com/patent/KR20130011644A/en
CN101590084A,"Pharmaceutical composition containing angiotensin converting enzyme inhibitors, B vitamins and ginkgo biloba extracts ",北京奥萨医药研究中心有限公司;深圳奥萨医药有限公司,"徐希平, 王文艳, 田敏卿, 范文峰, 陈光亮",2008-05-29,2008-05-29,2009-12-02,,https://patents.google.com/patent/CN101590084A/en
CA2649373A1,"Compositions for promoting brain and cardiovascular health, preventing and treating brain and cardiovascular disorders ","Integrated Chinese Medicine Holdings, Ltd., Wenhsien Chou",Wenhsien Chou,2006-04-20,2007-04-20,2007-11-08,,https://patents.google.com/patent/CA2649373A1/en
US20080118583A1,Phyto-nutraceutical synergistic composition for parkinson's disease ,Jose Angel Olalde Rangel,Jose Angel Olalde Rangel,2006-11-16,2006-11-16,2008-05-22,,https://patents.google.com/patent/US20080118583A1/en
JP2001039823A,Cosmetic composition containing humectant plant extract ,"Ichimaru Pharcos Co Ltd, 一丸ファルコス株式会社","Norihisa Kawai, Katsuko Minoura, Kanae Wakamatsu, 徳久 河合, 克子 箕浦, 香苗 若松",1999-07-30,1999-07-30,2001-02-13,,https://patents.google.com/patent/JP2001039823A/en
CN103733888A,Current-year grafting and current-year fruit bearing method for gingkoes ,湖南省南岳树木园,"夏江林, 彭珍宝",2013-12-27,2013-12-27,2014-04-23,,https://patents.google.com/patent/CN103733888A/en
US20050163873A1,Methods and formulations for treating glaucoma ,Robert Ritch,Robert Ritch,2004-01-14,2005-01-06,2005-07-28,,https://patents.google.com/patent/US20050163873A1/en
CN105781167A,Configuratin and energy conservation effect assessment method for inclined type shadeway parking lot tree species ,苏州大学,魏胜林,2016-05-19,2016-05-19,2016-07-20,,https://patents.google.com/patent/CN105781167A/en
CN102451126A,"Hair-growing cosmetic composition, and preparation method thereof ",台盐实业股份有限公司,"翁子斌, 赖振兴",2010-10-15,2010-10-15,2012-05-16,,https://patents.google.com/patent/CN102451126A/en
JP2001081021A,Cosmetic composition ,"Ichimaru Pharcos Co Ltd, 一丸ファルコス株式会社","Norihisa Kawai, Kanae Wakamatsu, 徳久 河合, 香苗 若松",1999-09-09,1999-09-09,2001-03-27,,https://patents.google.com/patent/JP2001081021A/en
CN105327153A,Application of traditional Chinese medicine composition containing ganoderma lucidum and folium ginkgo to post-apoplexy rehabilitation promotion ,南京中科药业有限公司,"冯鹏, 冯敏, 沈建, 钱一帆, 陈素玲, 陈恒",2014-08-08,2014-08-08,2016-02-17,,https://patents.google.com/patent/CN105327153A/en
CN101152233A,Pharmaceutical composition of snakegourd fruit and folium ginkgo ,黄振华,黄振华,2006-09-25,2006-09-25,2008-04-02,,https://patents.google.com/patent/CN101152233A/en
WO2000007592A1,Use of ginkgo biloba extracts for preparing a medicine for treating amyotrophic lateral sclerosis ,Societe De Conseils De Recherches Et D'applications Scientifiques (S.C.R.A.S.),Yves Christen,1998-08-07,1999-08-06,2000-02-17,,https://patents.google.com/patent/WO2000007592A1/en
CN103689235A,Laying hen feed taking nuts as feed components and classified feeding method of laying hen ,王众,王众,2014-01-06,2014-01-06,2014-04-02,,https://patents.google.com/patent/CN103689235A/en
US20040009244A1,Composition comprising melissa leaf extract for anti-angiogenic and matrix metalloproteinase inhibitory activity ,"Min-Young Kim, Byung-Young Park, Chang-Hee Moon, Eun-Kyu Park, Kyoung-Mi Kim","Min-Young Kim, Byung-Young Park, Chang-Hee Moon, Eun-Kyu Park, Kyoung-Mi Kim",2000-12-12,2003-06-12,2004-01-15,,https://patents.google.com/patent/US20040009244A1/en
WO1999027943A1,Use of ginkgo biloba extracts for preparing a medicine ,Societe De Conseils De Recherches Et D'applications Scientifiques (S.C.R.A.S.),Katy Drieu,1997-12-03,1998-12-01,1999-06-10,,https://patents.google.com/patent/WO1999027943A1/en
KR101133785B1,Composition for Preventing Hair Loss and Promoting Hair Growth Containing Scultellaria baicallensis and Method of Preparing the Same ,주식회사 남양,"김상원, 안계환, 양승원",2009-07-13,2009-07-13,2012-04-13,2012-04-13,https://patents.google.com/patent/KR101133785B1/en
CN101524422A,"Health products with hypolipemic function, preparation method and usage thereof ",无锡健特药业有限公司;张连龙,张连龙,2009-04-20,2009-04-20,2009-09-09,,https://patents.google.com/patent/CN101524422A/en
US9168283B2,Medemia nobilis extracts and methods of use ,"Avon Products, Inc.","Qian Zheng, John W. Lyga, Russell J. WYBORSKI",2012-12-11,2012-12-11,2015-10-27,2015-10-27,https://patents.google.com/patent/US9168283B2/en
CN105327154A,Traditional Chinese medicine composition with function of post-apoplexy rehabilitation promotion and preparation method of traditional Chinese medicine composition with function of post-apoplexy rehabilitation promotion ,南京中科药业有限公司,"冯鹏, 冯敏, 沈建, 钱一帆, 陈素玲, 陈亮",2014-08-08,2014-08-08,2016-02-17,,https://patents.google.com/patent/CN105327154A/en
CN101708029A,Feed mainly prepared from ginkgo biloba leaves ,王敏,王敏,2008-09-03,2008-09-03,2010-05-19,,https://patents.google.com/patent/CN101708029A/en
KR20160072215A,Insecticidal active mixtures comprising carboxamide compound ,바스프아그로케미칼 프로덕츠 비.브이.,"타티아나 시쿨약, 마르쿠스 게베어",2013-10-18,2014-10-16,2016-06-22,,https://patents.google.com/patent/KR20160072215A/en
CN101306171A,Traditional Chinese medicine capsule for repairing dysinsulinism function to balance blood sugar ,王跃进,王跃进,2008-05-10,2008-05-10,2008-11-19,,https://patents.google.com/patent/CN101306171A/en
CN101756568A,Health-care quilt ,李忠凯,李忠凯,2010-03-16,2010-03-16,2010-06-30,,https://patents.google.com/patent/CN101756568A/en
CN104956887A,Method for planting ultrahigh-density gingko leaf picking forest ,云南禾顺生物科技有限公司,李东虹,2015-06-23,2015-06-23,2015-10-07,,https://patents.google.com/patent/CN104956887A/en
KR100665966B1,Silicate a ginkgo-leaf extraction of bath type a component and manufacture. ,장정만,장정만,2005-09-23,2005-09-23,2007-01-09,2007-01-09,https://patents.google.com/patent/KR100665966B1/en
WO2008120105A2,Pharmaceutical platform technology for the development of natural products ,9898 Limited,"Yun Kau Tam, Jack Adam Tuszynski",2007-03-30,2008-03-31,2008-10-09,,https://patents.google.com/patent/WO2008120105A2/en
CN1122655A,Ginkgo leaves series bag tea ,邓忠元,"杨万英, 邓金萍, 丁开明",1994-11-05,1994-11-05,1996-05-22,,https://patents.google.com/patent/CN1122655A/en
CN105535730A,Novel traditional Chinese medicine composition for treating coughs and preparation method thereof ,成都市飞龙水处理技术研究所青白江第一分所,夏瑜,2016-01-06,2016-01-06,2016-05-04,,https://patents.google.com/patent/CN105535730A/en
CN105535828A,Traditional Chinese medicine decoction for treating coronary heart disease and preparation method thereof ,赵海蓉,"赵海蓉, 崔鹏, 张锐, 张焕华",2015-12-31,2015-12-31,2016-05-04,,https://patents.google.com/patent/CN105535828A/en
CN103751231A,Application of gingko extract nanometer liposome in acne removing and dermatosis treatment ,王青,"雷红, 王青",2013-09-11,2013-09-11,2014-04-30,,https://patents.google.com/patent/CN103751231A/en
CN102078343B,Application of ginkgo leaf total lactones in preparation of medicament for preventing or treating deafness and tinnitus ,上海信谊百路达药业有限公司,胡林森,2010-12-21,2010-12-21,2012-10-03,2012-10-03,https://patents.google.com/patent/CN102078343B/en
CN103696141B,A health nonwoven fabric and preparation method ,马鞍山湖滨无纺布科技有限公司,汪彦羽,2013-12-10,2013-12-10,2015-12-30,2015-12-30,https://patents.google.com/patent/CN103696141B/en
CN102018732A,Medicinal composition consisting of chondroitin sulfate and/or medicinal salt thereof and ginkgo leaf extract ,菲伯纳生物医药有限责任公司,曾星,2009-09-19,2009-09-19,2011-04-20,,https://patents.google.com/patent/CN102018732A/en
US9408796B2,Cosmetic compositions for improving the appearance of skin ,"Avon Products, Inc","Hong Hu, Sunghan Yim, Uma Santhanam, John W. Lyga",2013-03-13,2014-03-06,2016-08-09,2016-08-09,https://patents.google.com/patent/US9408796B2/en
US20050002962A1,Immunostimulatory agents in botanicals ,"David Pasco, Pugh Nirmal D., Ikhlas Khan, Rita Moraes","David Pasco, Nirmal Pugh, Ikhlas Khan, Rita Moraes",2003-04-16,2004-04-16,2005-01-06,,https://patents.google.com/patent/US20050002962A1/en
CN100413512C,Use of ginkgo biloba extracts in order to promote muscle mass to the detriment of fatty mass ,科学研究和应用咨询公司,Y·克里斯滕,2002-07-16,2003-07-15,2008-08-27,2008-08-27,https://patents.google.com/patent/CN100413512C/en
US20060148905A1,Methods for treatment of beta-amyloid protein-induced ocular disease ,Kim Darrick S H,Darrick Kim,1999-10-22,2005-11-23,2006-07-06,,https://patents.google.com/patent/US20060148905A1/en
CN1431002A,Health care combination of propolis for reducing blood sugar and fat as well as method for mfg. its capsule ,"伍震懿, 刘强, 王立志",伍震懿,2003-01-20,2003-01-20,2003-07-23,,https://patents.google.com/patent/CN1431002A/en
CN104884060A,Treatment regimens ,S1制药有限公司,"N·G·希特肯, R·E·派克, J·F·考夫曼",2012-08-06,2013-08-06,2015-09-02,,https://patents.google.com/patent/CN104884060A/en
US20160255440A1,Cosmetic Powder Compositions for Delivering Actives ,"Avon Products, Inc.","Raheel Khan, Amitabh Bansal, Blanca Perez",2013-03-15,2014-02-26,2016-09-01,,https://patents.google.com/patent/US20160255440A1/en
US7078434B1,Use of Ginkgo extract ,"Societe De Conseils De Recherches Et D'applications Scientifiques Sas, Georgetown University","Katy Drieu, Vassilios Papadopoulos",1999-08-12,2000-08-11,2006-07-18,2006-07-18,https://patents.google.com/patent/US7078434B1/en
CN102630492A,Production method for cultivating gingko agaric by utilizing medicinal plant residues ,国家林业局泡桐研究开发中心,"乔保水, 刘洁, 常德龙, 张云岭, 张铭望, 文瑞均, 李福海, 李钦, 梁臣, 董儒贞, 黄文豪, 黄琳",2012-04-23,2012-04-23,2012-08-15,,https://patents.google.com/patent/CN102630492A/en
KR20080096995A,Disposable absorbent articles comprising a back sheet containing natural fragrance and/or natural extract ,유한킴벌리 주식회사,"강은정, 김형범, 손서연",2007-04-30,2007-04-30,2008-11-04,,https://patents.google.com/patent/KR20080096995A/en
US20080267939A1,Synergistic anti-hypertensive phyto-nutraceutical composition ,Jose Angel Olalde Rangel,Jose Angel Olalde Rangel,2006-09-29,2006-09-29,2008-10-30,,https://patents.google.com/patent/US20080267939A1/en
CN105213885A,"Medicine composition for treating acute pancreatitis, and application thereof ",青岛市中心医院,"王蕊红, 李玲, 高健",2015-10-19,2015-10-19,2016-01-06,,https://patents.google.com/patent/CN105213885A/en
CN1568732A,Tea capable of preventing and curing hypertension ,孔祥菊,孔祥菊,2004-04-30,2004-04-30,2005-01-26,,https://patents.google.com/patent/CN1568732A/en
JP2006137679A,"Demelanizing agent having diaryl heptanoid derivative as active ingredient, skin external preparation and application to food and drink ","Ichimaru Pharcos Co Ltd, 一丸ファルコス株式会社","Toshihiro Akihisa, Yosuke Taguchi, Norihiro Tomono, Takayuki Tsuboi, Motohiko Ukiya, 規博 伴野, 孝幸 坪井, 基彦 浮谷, 洋介 田口, 俊博 秋久",2004-11-10,2004-11-10,2006-06-01,,https://patents.google.com/patent/JP2006137679A/en
CN103222990A,Application of lactobacillus casei and ginkgo leaf extract in preparing medicine used for controlling hyperlipidemia ,四川农业大学,"曾东, 倪学勤, 温啸, 辛金鸽, 曾燕, 贺大方, 张丹, 丁艳东, 李利杰",2013-04-25,2013-04-25,2013-07-31,,https://patents.google.com/patent/CN103222990A/en
CN100482220C,Oral preparation of bilobalide with high bioavailability and preparation method thereof ,张国清,张国清,2007-02-12,2007-02-12,2009-04-29,2009-04-29,https://patents.google.com/patent/CN100482220C/en
CN105123189A,Riverbank ecological buffering band and construction method for same ,"上海港城生态园林有限公司, 华东师范大学","蔡永立, 陈冲, 江洪, 饶应福, 白莹莹",2015-07-30,2015-07-30,2015-12-09,,https://patents.google.com/patent/CN105123189A/en
WO2009001362A2,Herbal compositions for the treatment of diabetes and/or conditions associated therewith ,Ascarit Ltd,Dov Fogel,2007-06-28,2008-06-26,2008-12-31,,https://patents.google.com/patent/WO2009001362A2/en
CN101518553A,"Oral medicinal preparation of ginkgo leaf total flavonoid aglycone, preparation method and an application thereof ",北京凯瑞创新医药科技有限公司,"张佳余, 李钦青",2008-02-27,2008-02-27,2009-09-02,,https://patents.google.com/patent/CN101518553A/en
CN105260623A,Temperature effect evaluation method of urban greening tree mass and application thereof ,苏州大学,魏胜林,2015-11-13,2015-11-13,2016-01-20,,https://patents.google.com/patent/CN105260623A/en
CN103735621A,Chinese medicinal composition with blood lipid reducing and immunity enhancing effects ,高晶,高晶,2014-01-24,2014-01-24,2014-04-23,,https://patents.google.com/patent/CN103735621A/en
CN102824476B,Health-care capsules and preparation method of health-care capsules ,福建农大菌草技术开发公司,"林占熺, 林树钱, 王赛贞, 林志彬, 林冬梅, 林占森, 林兴生, 林辉, 罗海凌, 林应兴, 李晶, 林春梅, 黄国勇, 谢晓锋, 揭淑华",2011-06-17,2011-06-17,2014-09-10,2014-09-10,https://patents.google.com/patent/CN102824476B/en
CN102846499A,"Composition having effects of whitening, removing spots and refreshing skin ",王青,"雷红, 王青",2012-08-14,2012-08-14,2013-01-02,,https://patents.google.com/patent/CN102846499A/en
US20160256368A1,Methods for treating skin ,"Avon Products, Inc.","Uma Santhanam, Jolanta Idkowiak-Baldys, Daniel Thorn Leeson, Anthony David GONZALEZ, Pradeep H. YADAV, Olga Maria MARTINEZ-AVILA, Lauren POLICELLI, Glen Thomas ANDERSON, Russell J. WYBORSKI, Simon Dutton, Jeanine SCHOEN, Dana VON BARGEN",2015-03-05,2016-03-04,2016-09-08,,https://patents.google.com/patent/US20160256368A1/en
CN105125886A,Traditional Chinese medicine composition for preventing and treating diabetes and complications of diabetes ,青岛市市立医院,"董利平, 邴兆伟",2015-09-24,2015-09-24,2015-12-09,,https://patents.google.com/patent/CN105125886A/en
KR101228156B1,Fabrics coated by ginkgo extract and manufacturing method thereof ,(주)한성헬스피아,오성환,2011-11-09,2011-11-09,2013-01-30,2013-01-30,https://patents.google.com/patent/KR101228156B1/en
US20110177179A1,Preparation of botanical extracts containing absorbable components using pharmaceutical platform technology ,"Sinoveda Canada, Inc.","Yun Kau Tam, Yi-Chan James Lin, Brian Duff Sloley",2010-01-18,2011-01-18,2011-07-21,,https://patents.google.com/patent/US20110177179A1/en
CN105808971A,Method for selecting tree-lined tree species of parking places of tree-lined parking lot ,苏州大学,魏胜林,2016-05-19,2016-05-19,2016-07-27,,https://patents.google.com/patent/CN105808971A/en
US20060257502A1,"A combination of mitochondrial nutrients for relieving stress, preventing and improving stress-related disorders ",Jiankang Liu,Jiankang Liu,2005-05-11,2005-05-11,2006-11-16,,https://patents.google.com/patent/US20060257502A1/en
CA2803590A1,Medemia nobilis extracts and methods of use ,"Avon Products, Inc., Qian Zheng, John W. Lyga, Russell J. WYBORSKI","Qian Zheng, John W. Lyga, Russell J. WYBORSKI",2012-12-11,2013-01-22,2014-06-11,,https://patents.google.com/patent/CA2803590A1/en
CN101244127A,Medicament for treating vascular dementia ,张庆华,张庆华,2007-06-19,2007-06-19,2008-08-20,,https://patents.google.com/patent/CN101244127A/en
WO2001012208A1,Use of ginkgo extract ,"Societe De Conseils De Recherches Et D'applications Scientifiques, S.A.S., Georgetown University","Katy Drieu, Vassilios Papadopoulos",1999-08-12,2000-08-11,2001-02-22,,https://patents.google.com/patent/WO2001012208A1/en
CN1443480A,Ginkgo ganoderma health-care food and its production method ,肖方道,肖方道,2002-03-12,2002-03-12,2003-09-24,,https://patents.google.com/patent/CN1443480A/en
CN100362011C,Preparation method of ginkgo leaf extract ,浙江康恩贝制药股份有限公司,"王若谷, 范秀林, 邵胜荣, 珺 郑, 雷凯琴, 鲍建伟",2003-01-08,2003-01-08,2008-01-16,2008-01-16,https://patents.google.com/patent/CN100362011C/en
CN103695225B,Ganoderma Ginkgo wine and prepared ,"江苏大学, 江苏安惠生物科技有限公司","张志才, 郑惠华, 任晓峰, 张才九, 陈惠�, 谢德中",2012-09-27,2012-09-27,2015-12-09,2015-12-09,https://patents.google.com/patent/CN103695225B/en
JP2001181167A,Inhibitor for elastase activity and cosmetic composition ,"Ichimaru Pharcos Co Ltd, 一丸ファルコス株式会社","Norihisa Kawai, Kiyotaka Tanaka, Kanae Wakamatsu, 徳久 河合, 清隆 田中, 香苗 若松",1999-12-24,1999-12-24,2001-07-03,,https://patents.google.com/patent/JP2001181167A/en
CN1176656C,Freeze-drying composition for injection ,北京东方天翔医药技术开发有限公司,"徐新盛, 文艳秋",2003-02-19,2003-02-19,2004-11-24,2004-11-24,https://patents.google.com/patent/CN1176656C/en
JP2004238310A,"Cosmetic composition, drink or food ","Ichimaru Pharcos Co Ltd, 一丸ファルコス株式会社","Mitsuko Kondo, Kanae Wakamatsu, 香苗 若松, 光子 近藤",2003-02-05,2003-02-05,2004-08-26,,https://patents.google.com/patent/JP2004238310A/en
CN103719632A,Livestock feed containing nutlet components and livestock feeding method ,王众,王众,2014-01-06,2014-01-06,2014-04-16,,https://patents.google.com/patent/CN103719632A/en
CN104225505A,Drug for treating acute cerebral hemorrhage ,青岛华仁技术孵化器有限公司,不公告发明人,2014-10-11,2014-10-11,2014-12-24,,https://patents.google.com/patent/CN104225505A/en
US20020009506A1,Compositions and methods for treating brain disorders and enhancing brain function ,Yuanjin Tao,Yuanjin Tao,2000-06-01,2001-06-01,2002-01-24,,https://patents.google.com/patent/US20020009506A1/en
KR20130050698A,Composition containing fermented extract of epicarp of ginkgo biloba for controlling plant diseases ,최종경,"최종경, 김진국, 구창섭",2011-11-08,2011-11-08,2013-05-16,,https://patents.google.com/patent/KR20130050698A/en
WO2005047304A2,Method for obtaining natural products from plant material ,Regents Of The University Of Minnesota,"Pavel A. Krasutsky, Oksana Kolomitsyna, Dmytro A. Krasutskyy, Oleksiy D. Kacharov, Igor V. Kolomitsyn",2003-11-10,2004-11-10,2005-05-26,,https://patents.google.com/patent/WO2005047304A2/en
EP3087178A1,Method for producing oxalate oxidases having activity optimum near physiological ph and use of such recombinant oxalate oxidases in the treatment of oxalate-related diseases ,Nexttobe AB,"Yi Wang, Xiaofeng Wang, Haifeng Liu, Wei Wang",2013-12-23,2014-12-22,2016-11-02,,https://patents.google.com/patent/EP3087178A1/en
JP2005530738A,Curcumin for the prevention and / or treatment of tissue damage ,アイシス・イノヴェイション・リミテッド,レズヴァニ，モハイアディン,2002-04-16,2003-04-16,2005-10-13,,https://patents.google.com/patent/JP2005530738A/en
CN101612363A,Natural medicinal preparation for raising albumin ,张喜田;金哲明,"张喜田, 金哲明",2009-08-07,2009-08-07,2009-12-30,,https://patents.google.com/patent/CN101612363A/en
CN103751547A,Traditional Chinese medicinal composition for reducing blood lipid and preparation method thereof ,四川绿禾药业有限公司,"万建军, 吴莉",2014-01-21,2014-01-21,2014-04-30,,https://patents.google.com/patent/CN103751547A/en
CN1730008A,Pharmaceutical composition for preventing and treating cardiac and cerebral vascular disease ,孙毅,孙毅,2005-08-02,2005-08-02,2006-02-08,,https://patents.google.com/patent/CN1730008A/en
CN100502858C,Use of naringenin and derivative in preparation of product for resisting cardiovascular and cerebrovascular disease ,中国人民解放军第二军医大学,"徐江平, 李铁军, 毛俊琴, 芮耀诚, 彦 邱, 波 陆, 强 陈",2006-02-06,2006-02-06,2009-06-24,2009-06-24,https://patents.google.com/patent/CN100502858C/en
CN103751519A,Traditional Chinese medicinal composition with effect of reducing blood sugar and preparation method thereof ,四川绿禾药业有限公司,"万建军, 吴莉",2014-01-21,2014-01-21,2014-04-30,,https://patents.google.com/patent/CN103751519A/en
